course_id,section_type,section_code,day_of_week,start_time,end_time,capacity,term,academic_year,status
ECOR1042,LECTURE,B-2,4,13:05,14:25,100,FALL,2024-2025,OPEN
ECOR1042,LAB,B1A,1,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1042,LAB,B1B,1,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1042,LAB,B2A,5,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1042,LAB,B2B,5,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1042,LAB,B3A,3,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1042,LAB,B3B,3,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1042,LAB,B4A,3,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1042,LAB,B4B,3,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1042,LAB,B6A,2,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1042,LAB,B6B,2,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1043,LECTURE,A-1,2,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1043,LECTURE,A-2,4,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1043,LAB,A1,4,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1043,LAB,A2,3,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1043,LAB,A3,3,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1043,LAB,A4,2,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1043,LAB,A5,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1043,LECTURE,B-1,1,10:05,11:25,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,A-1,2,16:35,17:55,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,A-2,4,16:35,17:55,100,FALL,2024-2025,OPEN
MATH1004,TUTORIAL,AT,2,18:05,18:55,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,B-1,3,11:35,12:55,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,B-2,5,11:35,12:55,100,FALL,2024-2025,OPEN
MATH1004,TUTORIAL,BT,5,17:35,18:25,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,C-1,1,8:35,9:55,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,C-2,3,8:35,9:55,100,FALL,2024-2025,OPEN
MATH1004,TUTORIAL,CT,1,11:35,12:25,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,D-1,2,10:05,11:25,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,D-2,4,10:05,11:25,100,FALL,2024-2025,OPEN
MATH1004,TUTORIAL,DT,4,17:35,18:25,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,E-1,1,16:05,17:25,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,E-2,3,16:05,17:25,100,FALL,2024-2025,OPEN
MATH1004,TUTORIAL,ET,3,13:35,14:25,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,F-1,2,19:35,20:55,100,FALL,2024-2025,OPEN
MATH1004,LECTURE,F-2,4,19:35,20:55,100,FALL,2024-2025,OPEN
MATH1004,TUTORIAL,FT,4,21:05,21:55,100,FALL,2024-2025,OPEN
CHEM1101,LECTURE,A-1,1,13:05,14:25,100,FALL,2024-2025,OPEN
CHEM1101,LECTURE,A-2,3,13:05,14:25,100,FALL,2024-2025,OPEN
CHEM1101,LECTURE,B-1,1,8:35,9:55,100,FALL,2024-2025,OPEN
CHEM1101,LECTURE,B-2,3,8:35,9:55,100,FALL,2024-2025,OPEN
CHEM1101,LABORATORY,G1,0,0:00,0:00,100,FALL,2024-2025,OPEN
CHEM1101,LABORATORY,L1,4,8:35,11:25,100,FALL,2024-2025,OPEN
CHEM1101,LABORATORY,L2,4,13:35,16:25,100,FALL,2024-2025,OPEN
CHEM1101,LABORATORY,L3,5,8:35,11:25,100,FALL,2024-2025,OPEN
CHEM1101,LABORATORY,L4,5,13:35,16:25,100,FALL,2024-2025,OPEN
ECOR1045,LECTURE,A-1,2,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1045,LECTURE,A-2,4,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,A1,1,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,A2,5,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,A3,1,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,A4,2,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1045,LECTURE,B-1,3,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1045,LECTURE,B-2,5,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,B1,1,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,B2,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,B3,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,B4,3,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1045,LECTURE,C-1,2,13:05,14:25,100,FALL,2024-2025,OPEN
ECOR1045,LECTURE,C-2,4,13:05,14:25,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,C1,2,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,C2,1,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,C3,2,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1045,LABORATORY,C4,3,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1047,LECTURE,A-1,2,11:35,12:55,100,FALL,2024-2025,OPEN
ECOR1047,LECTURE,A-2,4,11:35,12:55,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A1A,1,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A1B,1,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A2A,1,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A2B,1,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A3A,1,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A3B,1,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A4A,3,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A4B,3,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A5A,5,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A5B,5,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A6A,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,A6B,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1047,LECTURE,B-1,3,11:35,12:55,100,FALL,2024-2025,OPEN
ECOR1047,LECTURE,B-2,5,11:35,12:55,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B1A,2,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B1B,2,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B2A,4,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B2B,4,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B3A,2,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B3B,2,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B4A,4,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B4B,4,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B5A,3,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B5B,3,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B6A,3,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1047,LABORATORY,B6B,3,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1046,LECTURE,A-1,2,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1046,LECTURE,A-2,4,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,A1A,1,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,A1B,1,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,A2A,5,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,A2B,5,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,A3A,1,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,A3B,1,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,A4A,2,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,A4B,2,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1046,LECTURE,B-1,3,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1046,LECTURE,B-2,5,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,B1A,1,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,B1B,1,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,B2A,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,B2B,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,B3A,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,B3B,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,B4A,3,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,B4B,3,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1046,LECTURE,C-1,2,13:05,14:25,100,FALL,2024-2025,OPEN
ECOR1046,LECTURE,C-2,4,13:05,14:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,C1A,2,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,C1B,2,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,C2A,1,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,C2B,1,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,C3A,2,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,C3B,2,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,C4A,3,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1046,LABORATORY,C4B,3,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1048,LECTURE,A-1,2,11:35,12:55,100,FALL,2024-2025,OPEN
ECOR1048,LECTURE,A-2,4,11:35,12:55,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,A1,1,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,A2,1,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,A3,1,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,A4,3,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,A5,5,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,A6,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1048,LECTURE,B-1,3,11:35,12:55,100,FALL,2024-2025,OPEN
ECOR1048,LECTURE,B-2,5,11:35,12:55,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,B1,2,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,B2,4,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,B3,2,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,B4,4,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,B5,3,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1048,LABORATORY,B6,3,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1044,LECTURE,A-1,2,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1044,LECTURE,A-2,4,14:35,15:55,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,A1A,4,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,A1B,4,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,A2A,3,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,A2B,3,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,A3A,3,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,A3B,3,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,A4A,2,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,A4B,2,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,A5A,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,A5B,5,8:35,11:25,100,FALL,2024-2025,OPEN
ECOR1044,LECTURE,B-1,1,10:05,11:25,100,FALL,2024-2025,OPEN
ECOR1044,LECTURE,B-2,3,10:05,11:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B1A,4,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B1B,4,18:05,20:55,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B2A,1,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B2B,1,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B3A,5,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B3B,5,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B4A,5,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B4B,5,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B5A,2,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B5B,2,14:35,17:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B6A,1,11:35,14:25,100,FALL,2024-2025,OPEN
ECOR1044,LABORATORY,B6B,1,11:35,14:25,100,FALL,2024-2025,OPEN
